,year_film,year_award,category,nominee,film
967,1997,1998,Best Motion Picture - Foreign Language,Ma Vie en Rose,"Belgium, Alain Berliner"
968,1997,1998,Best Original Score - Motion Picture,James Horner,Titanic
969,1997,1998,Best Original Song - Motion Picture,"""My Heart Will Go On"", James Horner, Will Jennings",Titanic
970,1997,1998,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Alfre Woodard,Miss Evers' Boys
971,1997,1998,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ving Rhames,Don King: Only In America
972,1997,1998,Best Performance by an Actress In A Television Series - Drama,Christine Lahti,Chicago Hope
973,1997,1998,Best Performance by an Actor In A Television Series - Drama,Anthony Edwards,ER
974,1997,1998,Best Performance by an Actress in a Television Series - Musical or Comedy,Calista Flockhart,Ally McBeal
975,1997,1998,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael J. Fox,Spin City
976,1997,1998,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Angelina Jolie,George Wallace
977,1997,1998,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",George C. Scott,12 Angry Men (TV-1997)
978,1998,1999,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Elizabeth
979,1998,1999,Best Performance by an Actor in a Motion Picture - Drama,Jim Carrey,The Truman Show
980,1998,1999,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Gwyneth Paltrow,Shakespeare in Love
981,1998,1999,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Caine,Little Voice
982,1998,1999,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lynn Redgrave,Gods and Monsters
983,1998,1999,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Harris,The Truman Show
984,1998,1999,Best Director - Motion Picture,Steven Spielberg,Saving Private Ryan
985,1998,1999,Best Screenplay - Motion Picture,Marc Norman,Shakespeare in Love
986,1998,1999,Best Motion Picture - Foreign Language,Central Station,"Brazil, Walter Salles"
987,1998,1999,Best Original Score - Motion Picture,"Burkhard Dallwitz, Philip Glass",The Truman Show
988,1998,1999,Best Original Song - Motion Picture,"""The Prayer"", David Foster, Carole Bayer Sager, Tony Renis, Alberto Testa",Quest For Camelot: The Magic Sword
989,1998,1999,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Angelina Jolie,Gia
990,1998,1999,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Stanley Tucci,Winchell
991,1998,1999,Best Performance by an Actress In A Television Series - Drama,Keri Russell,Felicity
992,1998,1999,Best Performance by an Actor In A Television Series - Drama,Dylan McDermott,"Practice, The"
993,1998,1999,Best Performance by an Actress in a Television Series - Musical or Comedy,Jenna Elfman,Dharma & Greg
994,1998,1999,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael J. Fox,Spin City
995,1998,1999,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Faye Dunaway,Gia
996,1998,1999,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Camryn Manheim,"Practice, The"
