,movie_title,nominee,category,year_released,year_awarded,win
6617,Up In The Air,George Clooney,Best Performance by an Actor in a Motion Picture - Drama,2009,2010,False
6618,A Single Man,Colin Firth,Best Performance by an Actor in a Motion Picture - Drama,2009,2010,False
6619,Invictus,Morgan Freeman,Best Performance by an Actor in a Motion Picture - Drama,2009,2010,False
6620,Brothers,Tobey Maguire,Best Performance by an Actor in a Motion Picture - Drama,2009,2010,False
6621,Julie & Julia,Meryl Streep,Best Performance by an Actress in a Motion Picture - Musical or Comedy,2009,2010,True
6622,"Proposal, The",Sandra Bullock,Best Performance by an Actress in a Motion Picture - Musical or Comedy,2009,2010,False
6623,Nine,Marion Cotillard,Best Performance by an Actress in a Motion Picture - Musical or Comedy,2009,2010,False
6624,Duplicity,Julia Roberts,Best Performance by an Actress in a Motion Picture - Musical or Comedy,2009,2010,False
6625,It's Complicated,Meryl Streep,Best Performance by an Actress in a Motion Picture - Musical or Comedy,2009,2010,False
6626,Sherlock Holmes,Robert Downey Jr.,Best Performance by an Actor in a Motion Picture - Musical or Comedy,2009,2010,True
6627,The Informant!,Matt Damon,Best Performance by an Actor in a Motion Picture - Musical or Comedy,2009,2010,False
6628,Nine,Daniel Day-Lewis,Best Performance by an Actor in a Motion Picture - Musical or Comedy,2009,2010,False
6629,(500) Days of Summer,Joseph Gordon-Levitt,Best Performance by an Actor in a Motion Picture - Musical or Comedy,2009,2010,False
