,imdb_id,movie_title,year_released,genre,country,avg_vote,worldwide_gross_income,reviews_from_users,reviews_from_critics
74326,tt4307692,Traumfrauen,2015,Comedy,Germany,5.4,"$15,599,265",3.0,20.0
74327,tt4307880,Digimon Adventure tri. 1: Saikai,2015,"Animation, Action, Adventure",Japan,7.6,"$1,928,616",13.0,10.0
74328,tt4307948,Gorcilo - Jesi li to dosao da me vidis,2015,Comedy,"Montenegro, Serbia",6.2,"$9,105",2.0,3.0
74331,tt4309356,Sarmasik,2015,"Drama, Fantasy, Thriller","Turkey, Germany",8.1,"$78,862",11.0,16.0
74333,tt4310356,Ye kong que,2015,"Drama, Romance","China, France",4.4,"$5,045,207",3.0,1.0
74335,tt4310772,Du cheng feng yun II,2015,"Action, Adventure, Comedy","China, Hong Kong",4.6,"$163,877,532",6.0,8.0
74343,tt4313608,Paris-Willouby,2015,"Comedy, Drama",France,5.3,"$377,507",1.0,4.0
74344,tt4313614,La vie très privée de Monsieur Sim,2015,"Comedy, Drama",France,6.2,"$1,087,025",1.0,14.0
74345,tt4313646,La sposa bambina,2014,Drama,Yemen,6.9,"$108,396",1.0,9.0
74349,tt4314716,Darkness Rising,2017,Horror,USA,3.3,"$12,198",45.0,18.0
74352,tt4315956,Oneului yeonae,2015,"Comedy, Drama, Romance",South Korea,6.2,"$13,608,637",7.0,2.0
74355,tt4319112,Ki-sool-ja-deul,2014,"Action, Crime, Drama",South Korea,6.6,"$18,106,167",3.0,7.0
74356,tt4319698,Ng goh siu hai dik hau jeung,2015,"Biography, Drama",Hong Kong,7.3,"$9,573,680",8.0,5.0
74358,tt4320560,Seoboojeonsun,2015,"Action, Comedy, Drama",South Korea,6.5,"$4,185,530",5.0,1.0
74365,tt4323504,Jazbaa,2015,"Action, Crime, Drama",India,5.8,"$3,400,203",32.0,33.0
74366,tt4323568,Shot,2017,Drama,USA,5.4,"$4,701",3.0,12.0
74372,tt4325418,Abschussfahrt,2015,Comedy,Germany,4.9,"$2,864,566",2.0,16.0
74373,tt4325900,Ex with Benefits,2015,"Drama, Romance",Philippines,5.7,"$1,851,952",1.0,1.0
74374,tt4326444,Julieta,2016,"Drama, Mystery, Romance",Spain,7.1,"$22,468,044",61.0,244.0
74375,tt4326646,Lost Birds,2015,"Drama, Family",Turkey,6.8,"$45,317",1.0,6.0
74378,tt4327752,Lady Bloodfight,2016,"Action, Crime, Drama",Hong Kong,5.6,"$13,109",26.0,28.0
74387,tt4328798,Masss,2015,"Action, Comedy, Horror",India,6.0,"$245,564",14.0,7.0
74400,tt4331970,Quando hai 17 anni,2016,"Drama, Romance",France,7.1,"$2,050,766",25.0,87.0
74406,tt4333408,Le grand jeu,2015,"Drama, Mystery, Thriller",France,5.4,"$226,708",4.0,14.0
74410,tt4334266,The Bad Batch,2016,"Drama, Horror, Romance",USA,5.3,"$201,890",254.0,140.0
74411,tt4334482,Viva,2015,Drama,Ireland,7.2,"$423,976",14.0,59.0
74414,tt4335804,La mujer del animal,2016,Drama,Colombia,7.4,"$63,010",3.0,8.0
74416,tt4337072,Ghost in the Shell - The Rising,2015,"Animation, Action, Sci-Fi","Japan, USA",6.7,"$1,713,406",12.0,12.0
